sample,news_clean_status,horizon,return_type,diagnostic_only_flag,n,mean,median,t_stat,p_value,winsorized_mean,warning_flag
top5,media_confounded,21D,spy_bhar,True,317,0.021069,0.008711,3.505,0.000457,0.020492,
top5,media_confounded,63D,spy_bhar,True,317,0.042038,0.038172,3.999,0.000064,0.041588,
top5,market_implied_confounded,5D,spy_bhar,True,74,0.059506,0.076193,6.789,0.000000,0.059358,
top5,market_implied_confounded,21D,spy_bhar,True,74,0.128702,0.087231,4.785,0.000002,0.128702,
top5,market_implied_confounded,63D,spy_bhar,True,74,0.233637,0.224268,8.245,0.000000,0.230376,
top5,multi_source_clean,5D,spy_bhar,False,0,,,,,,n_lt_50
top5,multi_source_clean,21D,spy_bhar,False,0,,,,,,n_lt_50
top5,multi_source_clean,63D,spy_bhar,False,0,,,,,,n_lt_50
top5,unknown_news_coverage,5D,spy_bhar,True,308,-0.006902,-0.003326,-2.014,0.043974,-0.007127,
top5,unknown_news_coverage,21D,spy_bhar,True,308,-0.009021,0.004343,-1.271,0.203701,-0.009401,
top5,unknown_news_coverage,63D,spy_bhar,True,308,0.070905,0.014112,4.950,0.000001,0.067903,
non_top,official_confounded,5D,spy_bhar,True,434,-0.017410,-0.010339,-5.470,0.000000,-0.016994,
non_top,official_confounded,21D,spy_bhar,True,434,-0.038227,-0.023654,-5.258,0.000000,-0.038556,
non_top,official_confounded,63D,spy_bhar,True,434,-0.045236,-0.024466,-4.846,0.000001,-0.046472,
non_top,media_confounded,5D,spy_bhar,True,5,0.046510,0.011080,1.504,0.132548,0.046642,n_lt_50
non_top,media_confounded,21D,spy_bhar,True,5,0.064578,0.069818,1.483,0.138180,0.064997,n_lt_50
non_top,media_confounded,63D,spy_bhar,True,5,-0.040718,-0.067764,-1.189,0.234499,-0.040578,n_lt_50
non_top,market_implied_confounded,5D,spy_bhar,True,44,0.025185,0.011757,2.811,0.004941,0.025639,n_lt_50
non_top,market_implied_confounded,21D,spy_bhar,True,44,0.007471,-0.001731,0.646,0.518348,0.006970,n_lt_50
non_top,market_implied_confounded,63D,spy_bhar,True,44,0.009789,0.021617,0.415,0.678272,0.009290,n_lt_50
non_top,multi_source_clean,5D,spy_bhar,False,0,,,,,,n_lt_50
non_top,multi_source_clean,21D,spy_bhar,False,0,,,,,,n_lt_50
non_top,multi_source_clean,63D,spy_bhar,False,0,,,,,,n_lt_50
non_top,unknown_news_coverage,5D,spy_bhar,True,477,0.003540,-0.000399,2.021,0.043244,0.003636,
non_top,unknown_news_coverage,21D,spy_bhar,True,477,-0.000575,-0.003221,-0.144,0.885637,-0.000578,
non_top,unknown_news_coverage,63D,spy_bhar,True,477,-0.015202,-0.037835,-2.109,0.034934,-0.015909,
bullish_aligned_top5,official_confounded,5D,spy_bhar,True,358,-0.002221,-0.004042,-0.620,0.535366,-0.002554,
bullish_aligned_top5,official_confounded,21D,spy_bhar,True,358,0.007687,0.005693,1.352,0.176422,0.007745,
bullish_aligned_top5,official_confounded,63D,spy_bhar,True,358,0.113219,0.056751,7.393,0.000000,0.112581,
bullish_aligned_top5,media_confounded,5D,spy_bhar,True,195,0.001799,-0.004152,0.546,0.584753,0.001397,
bullish_aligned_top5,media_confounded,21D,spy_bhar,True,195,0.027206,0.017310,3.168,0.001533,0.027082,
bullish_aligned_top5,media_confounded,63D,spy_bhar,True,195,0.043525,0.041921,3.338,0.000843,0.043502,
bullish_aligned_top5,market_implied_confounded,5D,spy_bhar,True,45,0.077906,0.076425,7.490,0.000000,0.076885,n_lt_50
bullish_aligned_top5,market_implied_confounded,21D,spy_bhar,True,45,0.175545,0.116878,4.815,0.000001,0.175425,n_lt_50
bullish_aligned_top5,market_implied_confounded,63D,spy_bhar,True,45,0.264851,0.300495,8.621,0.000000,0.267485,n_lt_50
bullish_aligned_top5,multi_source_clean,5D,spy_bhar,False,0,,,,,,n_lt_50
bullish_aligned_top5,multi_source_clean,21D,spy_bhar,False,0,,,,,,n_lt_50
bullish_aligned_top5,multi_source_clean,63D,spy_bhar,False,0,,,,,,n_lt_50
bullish_aligned_top5,unknown_news_coverage,5D,spy_bhar,True,191,-0.008623,-0.001341,-1.950,0.051229,-0.008852,
bullish_aligned_top5,unknown_news_coverage,21D,spy_bhar,True,191,0.004782,0.007768,0.533,0.594252,0.004215,
bullish_aligned_top5,unknown_news_coverage,63D,spy_bhar,True,191,0.097141,0.019573,5.191,0.000000,0.094075,
bullish_aligned_non_top,official_confounded,5D,spy_bhar,True,260,-0.009312,-0.008175,-2.985,0.002836,-0.010227,
bullish_aligned_non_top,official_confounded,21D,spy_bhar,True,260,-0.018756,-0.020027,-3.846,0.000120,-0.018421,
bullish_aligned_non_top,official_confounded,63D,spy_bhar,True,260,-0.011755,-0.023541,-1.643,0.100360,-0.012822,
bullish_aligned_non_top,media_confounded,5D,spy_bhar,True,2,-0.003878,-0.003878,-0.259,0.795424,-0.003878,n_lt_50
bullish_aligned_non_top,media_confounded,21D,spy_bhar,True,2,0.005656,0.005656,0.088,0.929753,0.005656,n_lt_50
bullish_aligned_non_top,media_confounded,63D,spy_bhar,True,2,-0.083883,-0.083883,-5.204,0.000000,-0.083883,n_lt_50
bullish_aligned_non_top,market_implied_confounded,5D,spy_bhar,True,11,0.005419,0.010625,0.523,0.600944,0.005525,n_lt_50
bullish_aligned_non_top,market_implied_confounded,21D,spy_bhar,True,11,0.011892,-0.007128,0.655,0.512268,0.011919,n_lt_50
bullish_aligned_non_top,market_implied_confounded,63D,spy_bhar,True,11,0.033641,0.024834,0.661,0.508585,0.033395,n_lt_50
bullish_aligned_non_top,multi_source_clean,5D,spy_bhar,False,0,,,,,,n_lt_50
bullish_aligned_non_top,multi_source_clean,21D,spy_bhar,False,0,,,,,,n_lt_50
bullish_aligned_non_top,multi_source_clean,63D,spy_bhar,False,0,,,,,,n_lt_50
bullish_aligned_non_top,unknown_news_coverage,5D,spy_bhar,True,323,0.005646,-0.000049,2.489,0.012824,0.005812,
bullish_aligned_non_top,unknown_news_coverage,21D,spy_bhar,True,323,-0.002671,-0.001296,-0.616,0.538171,-0.002370,
bullish_aligned_non_top,unknown_news_coverage,63D,spy_bhar,True,323,-0.018182,-0.041238,-2.317,0.020513,-0.019042,
neutral_mixed_non_top,official_confounded,5D,spy_bhar,True,95,-0.042371,-0.015256,-4.376,0.000012,-0.038499,
neutral_mixed_non_top,official_confounded,21D,spy_bhar,True,95,-0.110753,-0.030584,-3.922,0.000088,-0.110777,
neutral_mixed_non_top,official_confounded,63D,spy_bhar,True,95,-0.137130,-0.052718,-4.131,0.000036,-0.138432,
neutral_mixed_non_top,media_confounded,5D,spy_bhar,True,1,-0.002408,-0.002408,,,-0.002408,n_lt_50
neutral_mixed_non_top,media_confounded,21D,spy_bhar,True,1,-0.006106,-0.006106,,,-0.006106,n_lt_50
neutral_mixed_non_top,media_confounded,63D,spy_bhar,True,1,-0.117553,-0.117553,,,-0.117553,n_lt_50
neutral_mixed_non_top,market_implied_confounded,5D,spy_bhar,True,28,0.030512,0.011757,2.346,0.018959,0.031190,n_lt_50
neutral_mixed_non_top,market_implied_confounded,21D,spy_bhar,True,28,0.001177,-0.001731,0.076,0.939523,0.001182,n_lt_50
neutral_mixed_non_top,market_implied_confounded,63D,spy_bhar,True,28,-0.027207,-0.016287,-1.069,0.285118,-0.028948,n_lt_50
neutral_mixed_non_top,multi_source_clean,5D,spy_bhar,False,0,,,,,,n_lt_50
neutral_mixed_non_top,multi_source_clean,21D,spy_bhar,False,0,,,,,,n_lt_50
neutral_mixed_non_top,multi_source_clean,63D,spy_bhar,False,0,,,,,,n_lt_50
neutral_mixed_non_top,unknown_news_coverage,5D,spy_bhar,True,98,-0.003236,-0.000215,-0.997,0.318807,-0.003636,
neutral_mixed_non_top,unknown_news_coverage,21D,spy_bhar,True,98,0.009135,-0.004284,0.786,0.431608,0.009517,
neutral_mixed_non_top,unknown_news_coverage,63D,spy_bhar,True,98,0.010012,0.007757,0.480,0.631477,0.011723,
market_quiet_multi_source_clean,official_confounded,5D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,official_confounded,21D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,official_confounded,63D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,media_confounded,5D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,media_confounded,21D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,media_confounded,63D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,market_implied_confounded,5D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,market_implied_confounded,21D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,market_implied_confounded,63D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,multi_source_clean,5D,spy_bhar,False,0,,,,,,n_lt_50
market_quiet_multi_source_clean,multi_source_clean,21D,spy_bhar,False,0,,,,,,n_lt_50
market_quiet_multi_source_clean,multi_source_clean,63D,spy_bhar,False,0,,,,,,n_lt_50
market_quiet_multi_source_clean,unknown_news_coverage,5D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,unknown_news_coverage,21D,spy_bhar,True,0,,,,,,n_lt_50
market_quiet_multi_source_clean,unknown_news_coverage,63D,spy_bhar,True,0,,,,,,n_lt_50
